,wavelength,B_R_LL,G_R_LL,R_R_LL
0,3e-07,0.0032049163974332195,0.0016432558355856304,0.001597929529677634
1,3.0505050505050505e-07,5.345055858627049e-05,7.928156700719276e-07,0.0010592797044566824
2,3.1010101010101007e-07,0.0025617175456014805,0.0017206976292291308,6.68358809363543e-06
3,3.1515151515151514e-07,0.004935875310807235,0.002554778547222062,0.001301325284852829
4,3.202020202020202e-07,0.0013959520801136193,0.0004779899187288714,0.0018372764918682244
5,3.252525252525252e-07,0.0005945876264677715,0.0005297263713468362,0.00037565195718697124
6,3.303030303030303e-07,0.005312330083148289,0.0028576690779489053,0.0003054068899430922
7,3.3535353535353536e-07,0.00599603466576823,0.002594196738477501,0.0019287993628496457
8,3.404040404040404e-07,0.0012413035974827536,0.00032353982039726663,0.00200072439765241
9,3.4545454545454544e-07,0.0009214524068671335,0.0006787840502615871,0.0004185993274583431
10,3.5050505050505046e-07,0.007030584367944537,0.0032880426021623453,0.00023105342222215272
11,3.5555555555555553e-07,0.009599432213678668,0.003674250960099913,0.0019255440458684394
12,3.606060606060606e-07,0.004267210095961584,0.001227229060031057,0.0027382375235796667
13,3.6565656565656566e-07,1.229251542269626e-06,5.4622625706676345e-05,0.001406180452871496
14,3.707070707070707e-07,0.005383545786321647,0.002309576728136325,4.1800714031968466e-05
15,3.7575757575757575e-07,0.014743989913103045,0.004969440946123766,0.0007870077919094695
16,3.8080808080808076e-07,0.015882088336235025,0.004422505861522768,0.0027450933877380705
17,3.8585858585858583e-07,0.006865096780173459,0.001430461956165622,0.00339505277069707
18,3.909090909090909e-07,6.164545093095621e-06,3.0327824720535187e-05,0.0019553184252339563
19,3.9595959595959597e-07,0.008239971869331874,0.00239481040883437,0.00023541822563869256
20,4.01010101010101e-07,0.027852205498648492,0.0061997502544652895,0.0003704886078209124
21,4.0606060606060605e-07,0.04079296777382816,0.007429387773257969,0.0023783210781327486
22,4.1111111111111107e-07,0.03313606096118398,0.00479112016452275,0.004256209066078139
23,4.1616161616161614e-07,0.010075755856794858,0.0010273475200066639,0.0041720927221701965
24,4.212121212121212e-07,0.0015688545270001158,0.0002562519643268848,0.002239871419510883
25,4.262626262626263e-07,0.04614866736536599,0.003975069461050493,0.0003204613610345874
26,4.313131313131313e-07,0.14855656756711755,0.009578267031471854,0.0002849021470063653
27,4.363636363636363e-07,0.2704805145786373,0.012685856066077082,0.002376121261535427
28,4.414141414141414e-07,0.37333025486992893,0.010785431110004295,0.005068054623672124
29,4.4646464646464644e-07,0.4419443298915198,0.005231622348520014,0.006371012850994447
30,4.515151515151515e-07,0.47607759301818103,0.0005247631606510282,0.005349812952712523
31,4.565656565656566e-07,0.47913426491876804,0.0012983557235295932,0.002749442382767906
32,4.616161616161616e-07,0.45362130709570986,0.00884794545872189,0.0004551336688673864
33,4.666666666666666e-07,0.40100171137645324,0.019895193267812656,0.00022577713440173855
34,4.717171717171717e-07,0.3239667734945522,0.028582068700090023,0.002536188685778065
35,4.7676767676767675e-07,0.23021790824244612,0.029895719001700967,0.006286246453527488
36,4.818181818181818e-07,0.13521871627008275,0.022402819533118578,0.009502695118736257
37,4.868686868686869e-07,0.058741525083995515,0.009701605730771699,0.010480867026519512
38,4.919191919191918e-07,0.01409402112932183,0.0004460733525178412,0.008679356741447703
39,4.969696969696969e-07,0.00012894256134151735,0.005906702893863575,0.0049977304630147885
40,5.02020202020202e-07,0.0050239753081432244,0.03447007412812005,0.001394976516741972
41,5.07070707070707e-07,0.015787133208798338,0.08609299570419245,1.1111835043757675e-05
42,5.121212121212121e-07,0.02396166855129311,0.15200595581834953,0.002148328131904608
43,5.171717171717172e-07,0.02624500998098093,0.2200927987769758,0.007605510005827739
44,5.222222222222223e-07,0.022957028061014566,0.2805223422708136,0.014719735728711079
45,5.272727272727272e-07,0.016316862215218088,0.3277840067653451,0.021052136494973533
46,5.323232323232323e-07,0.009049121985281822,0.35986240679437376,0.024319319438042997
47,5.373737373737374e-07,0.0033708573276854926,0.3766750245619779,0.023185107735742286
48,5.424242424242424e-07,0.0004226928963173638,0.3789156313575441,0.017755829139310113
49,5.474747474747474e-07,0.0001962230772404468,0.367496290013647,0.009777075206218231
50,5.525252525252525e-07,0.0018632114444678688,0.34344552649415516,0.0025041759719858763
51,5.575757575757575e-07,0.004274713335562385,0.30810010898656043,0.00012660981810420585
52,5.626262626262626e-07,0.0063985997274226694,0.2634551370223404,0.006677184240286455
53,5.676767676767677e-07,0.007574343527619477,0.21251063725400698,0.024671345729109607
54,5.727272727272727e-07,0.0075795283165527505,0.15938149474798222,0.054105186358006326
55,5.777777777777778e-07,0.006562746191470706,0.10892110559437597,0.09242158478014627
56,5.828282828282829e-07,0.004907521975339718,0.06578896398951005,0.13546398187917832
57,5.878787878787878e-07,0.003079871502190513,0.03327289864796924,0.17880332347667424
58,5.929292929292929e-07,0.0014966854732862147,0.01246787149194514,0.21874863082955215
59,5.97979797979798e-07,0.0004379205399287305,0.002261678257046885,0.25276156336192845
60,6.030303030303029e-07,1.1532144651481259e-05,5.753470109945141e-05,0.2793983238724124
61,6.08080808080808e-07,0.00016648746842884757,0.0027606101661522154,0.29803633512506056
62,6.131313131313131e-07,0.0007388642273299357,0.007571252576930925,0.308581644918857
63,6.181818181818181e-07,0.0015117403867001718,0.012401259361771954,0.31124817311352837
64,6.232323232323232e-07,0.0022715881511486593,0.0159657612755035,0.3064280192987235
65,6.282828282828283e-07,0.002849900338342407,0.017686620424035376,0.29463991868611233
66,6.333333333333333e-07,0.0031456437180537506,0.01752188352279747,0.276533881071965
67,6.383838383838384e-07,0.0031295645659098217,0.015786318963942187,0.25292905575844216
68,6.434343434343435e-07,0.002834544255456134,0.01299042564875962,0.2248611966266602
69,6.484848484848484e-07,0.002337375754689078,0.009706692451728609,0.19361409297163443
70,6.535353535353535e-07,0.001737169168738134,0.006466007826851491,0.1607085698011056
71,6.585858585858586e-07,0.0011346987958720815,0.003686191842942993,0.12782813365510198
72,6.636363636363635e-07,0.0006157695503308114,0.0016336283621178947,0.09667626746152534
73,6.686868686868686e-07,0.00024034106095068705,0.00041620781319990496,0.06878560836308684
74,6.737373737373737e-07,3.7869375451301796e-05,1.982692491830801e-06,0.045324255255776345
75,6.787878787878787e-07,8.25532999244891e-06,0.00025481039650783856,0.026954724014829626
76,6.838383838383838e-07,0.00012704420937834215,0.0009771502023676302,0.013787276294073707
77,6.888888888888889e-07,0.00035316280694869695,0.00195133592706007,0.005436476791289732
78,6.93939393939394e-07,0.0006374877322975017,0.002973325768742822,0.0011552449989330536
79,6.98989898989899e-07,0.0009308240283871739,0.003876025405162966,1.515112889061392e-06
80,7.04040404040404e-07,0.0011903116620976336,0.004541891990939167,0.0009943828489548463
81,7.09090909090909e-07,0.0013837486224870348,0.004906235438602925,0.0032324517030360095
82,7.141414141414141e-07,0.0014917338469737026,0.00495344652868847,0.005965746402695107
83,7.191919191919191e-07,0.0015078427886265327,0.004708536054409873,0.008626113927361668
84,7.242424242424241e-07,0.001437241115150848,0.004226145689772505,0.0108272664168539
85,7.292929292929292e-07,0.0012942296564886957,0.0035788072061087124,0.012346184963002192
86,7.343434343434343e-07,0.0010992193541174997,0.0028458091755672096,0.01309526263152189
87,7.393939393939394e-07,0.0008755836915949225,0.0021036339421486253,0.013091509994310071
88,7.444444444444444e-07,0.0006467501721360389,0.001418566650599136,0.012426547333861157
89,7.494949494949495e-07,0.00043378980131100156,0.0008417538848518662,0.011239330149965634
90,7.545454545454546e-07,0.0002536580849942852,0.0004067058702635387,0.009692524391831072
91,7.595959595959596e-07,0.00011814322253819586,0.00012900332425107853,0.007952930888024073
92,7.646464646464646e-07,3.349452021357496e-05,7.800394296719203e-06,0.006176116960353169
93,7.696969696969697e-07,6.413944459523599e-07,2.8617382331578768e-05,0.0044952714561955365
94,7.747474747474747e-07,1.587279260226415e-05,0.00016689130401209765,0.0030141588139762448
95,7.797979797979798e-07,7.182796491248966e-05,0.0003917892634784455,0.0018038769070312796
96,7.848484848484849e-07,0.00015864961797189178,0.0006698721439774594,0.0009029370234501424
97,7.898989898989898e-07,0.00026516537488378616,0.0009683039040432104,0.0003200189334012718
98,7.949494949494949e-07,0.0003799882288239638,0.001257415523765848,3.864614773067315e-05
99,8e-07,0.0004924564155961524,0.0015125372371481462,2.299817484084801e-05
